dep;clage_vacsi;jour;n_dose1;n_cum_dose1
01;80;2021-01-25;215;2924
01;80;2021-01-26;360;3284
01;80;2021-01-27;218;3502
02;0;2021-01-06;22;22
02;0;2021-01-07;260;282
02;0;2021-01-08;450;732
02;0;2021-01-09;72;804
02;0;2021-01-10;49;853
02;0;2021-01-11;244;1097
02;0;2021-01-12;346;1443
02;0;2021-01-13;437;1880
02;0;2021-01-14;594;2474
02;0;2021-01-15;619;3093
02;0;2021-01-16;326;3419
02;0;2021-01-17;60;3479
02;0;2021-01-18;801;4280
02;0;2021-01-19;936;5216
02;0;2021-01-20;1422;6638
02;0;2021-01-21;2499;9137
02;0;2021-01-22;1327;10464
02;0;2021-01-23;244;10708
02;0;2021-01-24;65;10773
02;0;2021-01-25;430;11203
02;0;2021-01-26;675;11878
02;0;2021-01-27;127;12005
02;24;2021-01-07;1;1
02;24;2021-01-08;1;2
02;24;2021-01-12;1;3
02;24;2021-01-13;3;6
02;24;2021-01-14;5;11
02;24;2021-01-15;5;16
02;24;2021-01-16;3;19
02;24;2021-01-18;3;22
02;24;2021-01-19;2;24
02;24;2021-01-20;4;28
02;24;2021-01-21;12;40
02;24;2021-01-22;5;45
02;24;2021-01-26;1;46
02;29;2021-01-08;4;4
02;29;2021-01-11;3;7
02;29;2021-01-12;2;9
02;29;2021-01-13;15;24
02;29;2021-01-14;8;32
02;29;2021-01-15;10;42
02;29;2021-01-16;5;47
02;29;2021-01-18;3;50
02;29;2021-01-19;6;56
02;29;2021-01-20;9;65
02;29;2021-01-21;26;91
02;29;2021-01-22;11;102
02;29;2021-01-24;1;103
02;29;2021-01-26;2;105
02;39;2021-01-07;5;5
02;39;2021-01-08;9;14
02;39;2021-01-09;6;20
02;39;2021-01-11;9;29
02;39;2021-01-12;13;42
02;39;2021-01-13;38;80
02;39;2021-01-14;36;116
02;39;2021-01-15;51;167
02;39;2021-01-16;14;181
02;39;2021-01-17;2;183
02;39;2021-01-18;24;207
02;39;2021-01-19;21;228
02;39;2021-01-20;28;256
02;39;2021-01-21;71;327
02;39;2021-01-22;29;356
02;39;2021-01-23;5;361
02;39;2021-01-24;3;364
02;39;2021-01-25;6;370
02;39;2021-01-26;12;382
02;39;2021-01-27;1;383
02;49;2021-01-06;1;1
02;49;2021-01-07;22;23
02;49;2021-01-08;25;48
02;49;2021-01-09;3;51
02;49;2021-01-10;2;53
02;49;2021-01-11;31;84
02;49;2021-01-12;34;118
02;49;2021-01-13;65;183
02;49;2021-01-14;80;263
02;49;2021-01-15;73;336
02;49;2021-01-16;30;366
02;49;2021-01-17;7;373
02;49;2021-01-18;35;408
02;49;2021-01-19;53;461
02;49;2021-01-20;56;517
02;49;2021-01-21;118;635
02;49;2021-01-22;61;696
02;49;2021-01-23;5;701
02;49;2021-01-24;4;705
02;49;2021-01-25;15;720
02;49;2021-01-26;17;737
02;59;2021-01-06;15;15
02;59;2021-01-07;81;96
02;59;2021-01-08;150;246
02;59;2021-01-09;27;273
02;59;2021-01-10;18;291
02;59;2021-01-11;107;398
02;59;2021-01-12;132;530
02;59;2021-01-13;166;696
02;59;2021-01-14;188;884
02;59;2021-01-15;160;1044
02;59;2021-01-16;85;1129
02;59;2021-01-17;20;1149
02;59;2021-01-18;99;1248
02;59;2021-01-19;96;1344
02;59;2021-01-20;115;1459
02;59;2021-01-21;262;1721
02;59;2021-01-22;123;1844
02;59;2021-01-23;14;1858
02;59;2021-01-24;8;1866
02;59;2021-01-25;30;1896
02;59;2021-01-26;67;1963
02;59;2021-01-27;4;1967
02;64;2021-01-06;2;2
02;64;2021-01-07;43;45
02;64;2021-01-08;59;104
02;64;2021-01-09;21;125
02;64;2021-01-10;9;134
02;64;2021-01-11;50;184
02;64;2021-01-12;47;231
02;64;2021-01-13;53;284
02;64;2021-01-14;60;344
02;64;2021-01-15;51;395
02;64;2021-01-16;42;437
02;64;2021-01-17;7;444
02;64;2021-01-18;35;479
02;64;2021-01-19;41;520
02;64;2021-01-20;60;580
02;64;2021-01-21;128;708
02;64;2021-01-22;57;765
02;64;2021-01-23;11;776
02;64;2021-01-24;4;780
02;64;2021-01-25;23;803
02;64;2021-01-26;26;829
02;64;2021-01-27;3;832
02;69;2021-01-06;3;3
02;69;2021-01-07;19;22
02;69;2021-01-08;41;63
02;69;2021-01-09;10;73
02;69;2021-01-10;6;79
02;69;2021-01-11;24;103
02;69;2021-01-12;24;127
02;69;2021-01-13;23;150
02;69;2021-01-14;38;188
02;69;2021-01-15;42;230
02;69;2021-01-16;30;260
02;69;2021-01-17;1;261
02;69;2021-01-18;22;283
02;69;2021-01-19;30;313
02;69;2021-01-20;49;362
02;69;2021-01-21;125;487
02;69;2021-01-22;81;568
02;69;2021-01-23;13;581
02;69;2021-01-24;7;588
02;69;2021-01-25;10;598
02;69;2021-01-26;19;617
02;69;2021-01-27;2;619
02;74;2021-01-07;17;17
02;74;2021-01-08;29;46
02;74;2021-01-09;4;50
02;74;2021-01-10;6;56
02;74;2021-01-11;10;66
02;74;2021-01-12;22;88
02;74;2021-01-13;23;111
02;74;2021-01-14;38;149
02;74;2021-01-15;43;192
02;74;2021-01-16;26;218
02;74;2021-01-17;4;222
02;74;2021-01-18;44;266
02;74;2021-01-19;46;312
02;74;2021-01-20;87;399
02;74;2021-01-21;148;547
02;74;2021-01-22;109;656
02;74;2021-01-23;13;669
02;74;2021-01-24;3;672
02;74;2021-01-25;23;695
02;74;2021-01-26;28;723
02;74;2021-01-27;8;731
02;79;2021-01-07;9;9
02;79;2021-01-08;21;30
02;79;2021-01-09;1;31
02;79;2021-01-10;2;33
02;79;2021-01-11;3;36
02;79;2021-01-12;15;51
02;79;2021-01-13;18;69
02;79;2021-01-14;56;125
02;79;2021-01-15;79;204
02;79;2021-01-16;40;244
02;79;2021-01-17;13;257
02;79;2021-01-18;193;450
02;79;2021-01-19;216;666
02;79;2021-01-20;280;946
02;79;2021-01-21;326;1272
02;79;2021-01-22;267;1539
02;79;2021-01-23;65;1604
02;79;2021-01-24;5;1609
02;79;2021-01-25;114;1723
02;79;2021-01-26;171;1894
02;79;2021-01-27;32;1926
02;80;2021-01-06;1;1
02;80;2021-01-07;63;64
02;80;2021-01-08;111;175
02;80;2021-01-10;6;181
02;80;2021-01-11;7;188
02;80;2021-01-12;56;244
02;80;2021-01-13;33;277
02;80;2021-01-14;85;362
02;80;2021-01-15;105;467
02;80;2021-01-16;51;518
02;80;2021-01-17;6;524
02;80;2021-01-18;343;867
02;80;2021-01-19;425;1292
02;80;2021-01-20;734;2026
02;80;2021-01-21;1282;3308
02;80;2021-01-22;584;3892
02;80;2021-01-23;118;4010
02;80;2021-01-24;30;4040
02;80;2021-01-25;209;4249
02;80;2021-01-26;332;4581
02;80;2021-01-27;77;4658
03;0;2021-01-06;10;10
03;0;2021-01-07;60;70
03;0;2021-01-08;146;216
03;0;2021-01-09;112;328
03;0;2021-01-11;398;726
03;0;2021-01-12;609;1335
03;0;2021-01-13;644;1979
03;0;2021-01-14;830;2809
03;0;2021-01-15;293;3102
03;0;2021-01-16;277;3379
03;0;2021-01-17;42;3421
03;0;2021-01-18;861;4282
03;0;2021-01-19;1072;5354
03;0;2021-01-20;1254;6608
03;0;2021-01-21;1183;7791
03;0;2021-01-22;1051;8842
03;0;2021-01-23;464;9306
03;0;2021-01-25;185;9491
03;0;2021-01-26;679;10170
03;0;2021-01-27;677;10847
03;24;2021-01-08;1;1
03;24;2021-01-11;2;3
03;24;2021-01-12;4;7
03;24;2021-01-13;1;8
03;24;2021-01-14;4;12
03;24;2021-01-16;1;13
03;24;2021-01-17;1;14
03;24;2021-01-18;3;17
03;24;2021-01-19;12;29
03;24;2021-01-20;2;31
03;24;2021-01-21;3;34
03;24;2021-01-22;3;37
03;24;2021-01-26;1;38
03;24;2021-01-27;1;39
03;29;2021-01-11;1;1
03;29;2021-01-12;7;8
03;29;2021-01-13;8;16
03;29;2021-01-14;15;31
03;29;2021-01-15;4;35
03;29;2021-01-17;1;36
03;29;2021-01-18;7;43
03;29;2021-01-19;9;52
03;29;2021-01-20;13;65
03;29;2021-01-21;9;74
03;29;2021-01-22;6;80
03;29;2021-01-23;1;81
03;29;2021-01-26;2;83
03;29;2021-01-27;1;84
03;39;2021-01-07;1;1
03;39;2021-01-08;1;2
03;39;2021-01-11;22;24
03;39;2021-01-12;39;63
03;39;2021-01-13;45;108
03;39;2021-01-14;68;176
03;39;2021-01-15;13;189
03;39;2021-01-16;7;196
03;39;2021-01-17;5;201
03;39;2021-01-18;28;229
03;39;2021-01-19;25;254
03;39;2021-01-20;54;308
03;39;2021-01-21;45;353
03;39;2021-01-22;23;376
03;39;2021-01-23;3;379
03;39;2021-01-25;2;381
03;39;2021-01-26;15;396
03;39;2021-01-27;8;404
03;49;2021-01-07;1;1
03;49;2021-01-08;5;6
03;49;2021-01-11;43;49
03;49;2021-01-12;74;123
03;49;2021-01-13;83;206
03;49;2021-01-14;119;325
03;49;2021-01-15;19;344
03;49;2021-01-16;22;366
03;49;2021-01-17;7;373
03;49;2021-01-18;72;445
03;49;2021-01-19;51;496
03;49;2021-01-20;76;572
03;49;2021-01-21;53;625
03;49;2021-01-22;56;681
03;49;2021-01-23;5;686
03;49;2021-01-25;4;690
03;49;2021-01-26;24;714
03;49;2021-01-27;6;720
03;59;2021-01-06;2;2
03;59;2021-01-07;28;30
03;59;2021-01-08;43;73
03;59;2021-01-11;161;234
03;59;2021-01-12;190;424
03;59;2021-01-13;224;648
03;59;2021-01-14;270;918
03;59;2021-01-15;116;1034
03;59;2021-01-16;109;1143
03;59;2021-01-17;4;1147
03;59;2021-01-18;98;1245
03;59;2021-01-19;82;1327
03;59;2021-01-20;101;1428
03;59;2021-01-21;91;1519
03;59;2021-01-22;70;1589
03;59;2021-01-23;17;1606
03;59;2021-01-25;11;1617
03;59;2021-01-26;29;1646
03;59;2021-01-27;22;1668
03;64;2021-01-06;2;2
03;64;2021-01-07;13;15
03;64;2021-01-08;22;37
03;64;2021-01-09;4;41
03;64;2021-01-11;74;115
03;64;2021-01-12;89;204
03;64;2021-01-13;98;302
03;64;2021-01-14;106;408
03;64;2021-01-15;19;427
03;64;2021-01-16;32;459
03;64;2021-01-17;4;463
03;64;2021-01-18;34;497
03;64;2021-01-19;35;532
03;64;2021-01-20;45;577
03;64;2021-01-21;33;610
03;64;2021-01-22;36;646
03;64;2021-01-23;18;664
03;64;2021-01-25;7;671
03;64;2021-01-26;18;689
03;64;2021-01-27;10;699
03;69;2021-01-06;1;1
03;69;2021-01-07;5;6
03;69;2021-01-08;10;16
03;69;2021-01-09;3;19
03;69;2021-01-11;49;68
03;69;2021-01-12;51;119
03;69;2021-01-13;42;161
03;69;2021-01-14;54;215
03;69;2021-01-15;9;224
03;69;2021-01-16;10;234
03;69;2021-01-17;2;236
03;69;2021-01-18;21;257
03;69;2021-01-19;27;284
03;69;2021-01-20;27;311
03;69;2021-01-21;28;339
03;69;2021-01-22;27;366
03;69;2021-01-23;16;382
03;69;2021-01-25;7;389
03;69;2021-01-26;34;423
03;69;2021-01-27;12;435
03;74;2021-01-07;3;3
03;74;2021-01-08;4;7
03;74;2021-01-09;7;14
03;74;2021-01-11;22;36
03;74;2021-01-12;34;70
03;74;2021-01-13;44;114
03;74;2021-01-14;36;150
03;74;2021-01-15;5;155
03;74;2021-01-16;12;167
03;74;2021-01-17;1;168
03;74;2021-01-18;36;204
03;74;2021-01-19;42;246
03;74;2021-01-20;56;302
03;74;2021-01-21;59;361
03;74;2021-01-22;58;419
03;74;2021-01-23;21;440
03;74;2021-01-25;7;447
03;74;2021-01-26;37;484
03;74;2021-01-27;43;527
03;79;2021-01-08;9;9
03;79;2021-01-09;11;20
03;79;2021-01-11;14;34
03;79;2021-01-12;32;66
03;79;2021-01-13;32;98
03;79;2021-01-14;35;133
03;79;2021-01-15;33;166
03;79;2021-01-16;13;179
03;79;2021-01-17;3;182
03;79;2021-01-18;219;401
03;79;2021-01-19;308;709
03;79;2021-01-20;302;1011
03;79;2021-01-21;288;1299
03;79;2021-01-22;289;1588
03;79;2021-01-23;128;1716
03;79;2021-01-25;58;1774
03;79;2021-01-26;180;1954
03;79;2021-01-27;217;2171
03;80;2021-01-06;5;5
03;80;2021-01-07;9;14
03;80;2021-01-08;51;65
03;80;2021-01-09;87;152
03;80;2021-01-11;10;162
03;80;2021-01-12;89;251
03;80;2021-01-13;67;318
03;80;2021-01-14;122;440
03;80;2021-01-15;75;515
03;80;2021-01-16;71;586
03;80;2021-01-17;14;600
03;80;2021-01-18;343;943
03;80;2021-01-19;481;1424
03;80;2021-01-20;578;2002
03;80;2021-01-21;574;2576
03;80;2021-01-22;483;3059
03;80;2021-01-23;255;3314
03;80;2021-01-25;89;3403
03;80;2021-01-26;339;3742
03;80;2021-01-27;357;4099
04;0;2021-01-05;4;4
04;0;2021-01-07;60;64
04;0;2021-01-08;87;151
04;0;2021-01-09;56;207
04;0;2021-01-11;45;252
04;0;2021-01-12;392;644
04;0;2021-01-13;231;875
04;0;2021-01-14;86;961
04;0;2021-01-15;141;1102
04;0;2021-01-16;103;1205
04;0;2021-01-17;8;1213
04;0;2021-01-18;231;1444
04;0;2021-01-19;459;1903
04;0;2021-01-20;563;2466
04;0;2021-01-21;601;3067
04;0;2021-01-22;619;3686
04;0;2021-01-23;109;3795
04;0;2021-01-25;238;4033
04;0;2021-01-26;644;4677
04;0;2021-01-27;472;5149
04;24;2021-01-12;1;1
04;24;2021-01-21;1;2
04;24;2021-01-25;1;3
04;24;2021-01-27;1;4
04;29;2021-01-09;2;2
04;29;2021-01-12;1;3
04;29;2021-01-13;2;5
04;29;2021-01-16;1;6
04;29;2021-01-19;1;7
04;29;2021-01-20;1;8
04;29;2021-01-21;2;10
04;29;2021-01-22;1;11
04;29;2021-01-26;2;13
04;39;2021-01-07;1;1
04;39;2021-01-09;3;4
04;39;2021-01-12;11;15
04;39;2021-01-13;7;22
04;39;2021-01-14;3;25
04;39;2021-01-15;3;28
04;39;2021-01-16;2;30
04;39;2021-01-18;3;33
04;39;2021-01-19;4;37
04;39;2021-01-20;9;46
04;39;2021-01-21;9;55
04;39;2021-01-22;5;60
04;39;2021-01-23;2;62
04;39;2021-01-25;1;63
04;39;2021-01-26;3;66
04;39;2021-01-27;8;74
04;49;2021-01-05;1;1
04;49;2021-01-07;2;3
04;49;2021-01-08;3;6
04;49;2021-01-09;6;12
04;49;2021-01-11;1;13
04;49;2021-01-12;24;37
04;49;2021-01-13;15;52
04;49;2021-01-14;8;60
04;49;2021-01-15;10;70
04;49;2021-01-16;5;75
04;49;2021-01-18;7;82
04;49;2021-01-19;9;91
04;49;2021-01-20;24;115
04;49;2021-01-21;23;138
04;49;2021-01-22;8;146
04;49;2021-01-23;6;152
04;49;2021-01-25;4;156
04;49;2021-01-26;11;167
04;49;2021-01-27;8;175
04;59;2021-01-05;1;1
04;59;2021-01-07;14;15
04;59;2021-01-08;21;36
04;59;2021-01-09;5;41
04;59;2021-01-11;17;58
04;59;2021-01-12;67;125
04;59;2021-01-13;63;188
04;59;2021-01-14;33;221
04;59;2021-01-15;59;280
04;59;2021-01-16;33;313
04;59;2021-01-17;1;314
04;59;2021-01-18;30;344
04;59;2021-01-19;49;393
04;59;2021-01-20;56;449
04;59;2021-01-21;43;492
04;59;2021-01-22;41;533
04;59;2021-01-23;17;550
04;59;2021-01-25;26;576
04;59;2021-01-26;40;616
04;59;2021-01-27;25;641
04;64;2021-01-07;8;8
04;64;2021-01-08;11;19
04;64;2021-01-09;2;21
04;64;2021-01-11;8;29
04;64;2021-01-12;30;59
04;64;2021-01-13;23;82
04;64;2021-01-14;10;92
04;64;2021-01-15;28;120
04;64;2021-01-16;24;144
04;64;2021-01-18;17;161
04;64;2021-01-19;27;188
04;64;2021-01-20;20;208
04;64;2021-01-21;29;237
04;64;2021-01-22;24;261
04;64;2021-01-23;15;276
04;64;2021-01-25;15;291
04;64;2021-01-26;11;302
04;64;2021-01-27;22;324
04;69;2021-01-07;7;7
04;69;2021-01-08;6;13
04;69;2021-01-09;3;16
04;69;2021-01-11;5;21
04;69;2021-01-12;21;42
04;69;2021-01-13;10;52
04;69;2021-01-14;9;61
04;69;2021-01-15;7;68
04;69;2021-01-16;8;76
04;69;2021-01-18;14;90
04;69;2021-01-19;20;110
04;69;2021-01-20;23;133
04;69;2021-01-21;34;167
04;69;2021-01-22;33;200
04;69;2021-01-23;11;211
04;69;2021-01-25;4;215
04;69;2021-01-26;19;234
04;69;2021-01-27;14;248
04;74;2021-01-05;2;2
04;74;2021-01-07;2;4
04;74;2021-01-08;6;10
04;74;2021-01-09;1;11
04;74;2021-01-11;2;13
04;74;2021-01-12;17;30
04;74;2021-01-13;12;42
04;74;2021-01-14;4;46
04;74;2021-01-15;3;49
04;74;2021-01-16;9;58
04;74;2021-01-18;15;73
04;74;2021-01-19;26;99
04;74;2021-01-20;26;125
04;74;2021-01-21;30;155
04;74;2021-01-22;34;189
04;74;2021-01-23;12;201
04;74;2021-01-25;15;216
04;74;2021-01-26;42;258
04;74;2021-01-27;18;276
04;79;2021-01-07;1;1
04;79;2021-01-08;4;5
04;79;2021-01-09;4;9
04;79;2021-01-12;32;41
04;79;2021-01-13;8;49
04;79;2021-01-14;1;50
04;79;2021-01-15;5;55
04;79;2021-01-16;6;61
04;79;2021-01-18;41;102
04;79;2021-01-19;145;247
04;79;2021-01-20;149;396
04;79;2021-01-21;170;566
04;79;2021-01-22;177;743
04;79;2021-01-23;13;756
04;79;2021-01-25;61;817
04;79;2021-01-26;203;1020
04;79;2021-01-27;121;1141
04;80;2021-01-07;25;25
04;80;2021-01-08;36;61
04;80;2021-01-09;30;91
04;80;2021-01-11;12;103
04;80;2021-01-12;188;291
04;80;2021-01-13;91;382
04;80;2021-01-14;18;400
04;80;2021-01-15;25;425
04;80;2021-01-16;15;440
04;80;2021-01-17;7;447
04;80;2021-01-18;104;551
04;80;2021-01-19;178;729
04;80;2021-01-20;255;984
04;80;2021-01-21;260;1244
04;80;2021-01-22;296;1540
04;80;2021-01-23;33;1573
04;80;2021-01-25;111;1684
04;80;2021-01-26;313;1997
04;80;2021-01-27;254;2251
05;0;2021-01-06;20;20
05;0;2021-01-07;115;135
05;0;2021-01-08;126;261
05;0;2021-01-09;10;271
05;0;2021-01-11;36;307
05;0;2021-01-12;86;393
05;0;2021-01-13;103;496
05;0;2021-01-14;157;653
05;0;2021-01-15;88;741
05;0;2021-01-16;12;753
05;0;2021-01-18;196;949
05;0;2021-01-19;190;1139
05;0;2021-01-20;192;1331
05;0;2021-01-21;251;1582
05;0;2021-01-22;192;1774
05;0;2021-01-23;102;1876
05;0;2021-01-25;279;2155
05;0;2021-01-26;473;2628
05;0;2021-01-27;384;3012
05;24;2021-01-11;1;1
05;24;2021-01-18;1;2
05;24;2021-01-19;1;3
05;24;2021-01-25;1;4
05;29;2021-01-08;1;1
05;29;2021-01-12;1;2
05;29;2021-01-15;2;4
05;29;2021-01-18;1;5
05;29;2021-01-25;2;7
05;29;2021-01-26;3;10
05;29;2021-01-27;2;12
05;39;2021-01-07;1;1
05;39;2021-01-08;1;2
05;39;2021-01-12;2;4
05;39;2021-01-13;2;6
05;39;2021-01-14;2;8
05;39;2021-01-15;2;10
05;39;2021-01-18;3;13
05;39;2021-01-19;2;15
05;39;2021-01-21;2;17
05;39;2021-01-22;2;19
05;39;2021-01-25;3;22
05;39;2021-01-26;10;32
05;39;2021-01-27;5;37
05;49;2021-01-07;1;1
05;49;2021-01-08;2;3
05;49;2021-01-11;2;5
05;49;2021-01-12;3;8
05;49;2021-01-13;4;12
05;49;2021-01-14;8;20
05;49;2021-01-15;7;27
05;49;2021-01-16;1;28
05;49;2021-01-18;12;40
05;49;2021-01-19;2;42
05;49;2021-01-20;1;43
05;49;2021-01-21;8;51
05;49;2021-01-23;1;52
05;49;2021-01-25;7;59
05;49;2021-01-26;21;80
05;49;2021-01-27;8;88
05;59;2021-01-06;1;1
05;59;2021-01-07;9;10
05;59;2021-01-08;22;32
05;59;2021-01-09;1;33
05;59;2021-01-11;17;50
05;59;2021-01-12;26;76
05;59;2021-01-13;51;127
05;59;2021-01-14;66;193
05;59;2021-01-15;46;239
05;59;2021-01-16;5;244
05;59;2021-01-18;44;288
05;59;2021-01-19;42;330
05;59;2021-01-20;38;368
05;59;2021-01-21;41;409
05;59;2021-01-22;15;424
05;59;2021-01-23;5;429
05;59;2021-01-25;28;457
05;59;2021-01-26;50;507
05;59;2021-01-27;36;543
05;64;2021-01-06;2;2
05;64;2021-01-07;11;13
05;64;2021-01-08;7;20
05;64;2021-01-09;2;22
05;64;2021-01-11;4;26
05;64;2021-01-12;18;44
05;64;2021-01-13;17;61
05;64;2021-01-14;25;86
05;64;2021-01-15;14;100
05;64;2021-01-16;5;105
05;64;2021-01-18;21;126
05;64;2021-01-19;16;142
05;64;2021-01-20;12;154
05;64;2021-01-21;16;170
05;64;2021-01-22;7;177
05;64;2021-01-25;13;190
05;64;2021-01-26;22;212
05;64;2021-01-27;12;224
05;69;2021-01-07;5;5
05;69;2021-01-08;3;8
05;69;2021-01-11;2;10
05;69;2021-01-12;7;17
05;69;2021-01-13;10;27
05;69;2021-01-14;8;35
05;69;2021-01-15;7;42
05;69;2021-01-16;1;43
05;69;2021-01-18;15;58
05;69;2021-01-19;10;68
05;69;2021-01-20;5;73
05;69;2021-01-21;4;77
05;69;2021-01-22;6;83
05;69;2021-01-23;2;85
05;69;2021-01-25;9;94
05;69;2021-01-26;31;125
05;69;2021-01-27;15;140
05;74;2021-01-07;5;5
05;74;2021-01-08;2;7
05;74;2021-01-11;2;9
05;74;2021-01-12;1;10
05;74;2021-01-13;2;12
05;74;2021-01-14;5;17
05;74;2021-01-15;1;18
05;74;2021-01-18;7;25
05;74;2021-01-19;5;30
05;74;2021-01-20;9;39
05;74;2021-01-21;5;44
05;74;2021-01-22;7;51
05;74;2021-01-25;9;60
05;74;2021-01-26;15;75
05;74;2021-01-27;17;92
