dep;sexe;jour;n_dose1;n_cum_dose1
03;2;2021-01-23;258;5587
03;2;2021-01-25;113;5700
03;2;2021-01-26;373;6073
03;2;2021-01-27;389;6462
04;0;2021-01-05;4;4
04;0;2021-01-07;60;64
04;0;2021-01-08;87;151
04;0;2021-01-09;56;207
04;0;2021-01-11;45;252
04;0;2021-01-12;392;644
04;0;2021-01-13;231;875
04;0;2021-01-14;86;961
04;0;2021-01-15;141;1102
04;0;2021-01-16;103;1205
04;0;2021-01-17;8;1213
04;0;2021-01-18;231;1444
04;0;2021-01-19;459;1903
04;0;2021-01-20;563;2466
04;0;2021-01-21;601;3067
04;0;2021-01-22;619;3686
04;0;2021-01-23;109;3795
04;0;2021-01-25;238;4033
04;0;2021-01-26;644;4677
04;0;2021-01-27;472;5149
04;1;2021-01-05;2;2
04;1;2021-01-07;24;26
04;1;2021-01-08;33;59
04;1;2021-01-09;21;80
04;1;2021-01-11;16;96
04;1;2021-01-12;131;227
04;1;2021-01-13;67;294
04;1;2021-01-14;39;333
04;1;2021-01-15;72;405
04;1;2021-01-16;53;458
04;1;2021-01-17;5;463
04;1;2021-01-18;98;561
04;1;2021-01-19;221;782
04;1;2021-01-20;254;1036
04;1;2021-01-21;281;1317
04;1;2021-01-22;292;1609
04;1;2021-01-23;43;1652
04;1;2021-01-25;104;1756
04;1;2021-01-26;288;2044
04;1;2021-01-27;225;2269
04;2;2021-01-05;2;2
04;2;2021-01-07;36;38
04;2;2021-01-08;54;92
04;2;2021-01-09;35;127
04;2;2021-01-11;29;156
04;2;2021-01-12;261;417
04;2;2021-01-13;164;581
04;2;2021-01-14;47;628
04;2;2021-01-15;69;697
04;2;2021-01-16;50;747
04;2;2021-01-17;3;750
04;2;2021-01-18;133;883
04;2;2021-01-19;238;1121
04;2;2021-01-20;308;1429
04;2;2021-01-21;319;1748
04;2;2021-01-22;326;2074
04;2;2021-01-23;66;2140
04;2;2021-01-25;134;2274
04;2;2021-01-26;356;2630
04;2;2021-01-27;247;2877
05;0;2021-01-06;20;20
05;0;2021-01-07;115;135
05;0;2021-01-08;126;261
05;0;2021-01-09;10;271
05;0;2021-01-11;36;307
05;0;2021-01-12;86;393
05;0;2021-01-13;103;496
05;0;2021-01-14;157;653
05;0;2021-01-15;88;741
05;0;2021-01-16;12;753
05;0;2021-01-18;196;949
05;0;2021-01-19;190;1139
05;0;2021-01-20;192;1331
05;0;2021-01-21;251;1582
05;0;2021-01-22;192;1774
05;0;2021-01-23;102;1876
05;0;2021-01-25;279;2155
05;0;2021-01-26;473;2628
05;0;2021-01-27;384;3012
05;1;2021-01-06;6;6
05;1;2021-01-07;41;47
05;1;2021-01-08;31;78
05;1;2021-01-09;3;81
05;1;2021-01-11;15;96
05;1;2021-01-12;35;131
05;1;2021-01-13;48;179
05;1;2021-01-14;65;244
05;1;2021-01-15;42;286
05;1;2021-01-16;4;290
05;1;2021-01-18;83;373
05;1;2021-01-19;94;467
05;1;2021-01-20;89;556
05;1;2021-01-21;117;673
05;1;2021-01-22;96;769
05;1;2021-01-23;46;815
05;1;2021-01-25;116;931
05;1;2021-01-26;189;1120
05;1;2021-01-27;169;1289
05;2;2021-01-06;14;14
05;2;2021-01-07;74;88
05;2;2021-01-08;95;183
05;2;2021-01-09;7;190
05;2;2021-01-11;21;211
05;2;2021-01-12;51;262
05;2;2021-01-13;55;317
05;2;2021-01-14;92;409
05;2;2021-01-15;46;455
05;2;2021-01-16;8;463
05;2;2021-01-18;113;576
05;2;2021-01-19;96;672
05;2;2021-01-20;103;775
05;2;2021-01-21;134;909
05;2;2021-01-22;96;1005
05;2;2021-01-23;56;1061
05;2;2021-01-25;163;1224
05;2;2021-01-26;284;1508
05;2;2021-01-27;215;1723
06;0;2020-12-31;19;19
06;0;2021-01-04;115;134
06;0;2021-01-05;135;269
06;0;2021-01-06;155;424
06;0;2021-01-07;383;807
06;0;2021-01-08;303;1110
06;0;2021-01-09;90;1200
06;0;2021-01-10;1;1201
06;0;2021-01-11;496;1697
06;0;2021-01-12;1613;3310
06;0;2021-01-13;1148;4458
06;0;2021-01-14;1039;5497
06;0;2021-01-15;762;6259
06;0;2021-01-16;463;6722
06;0;2021-01-17;37;6759
06;0;2021-01-18;938;7697
06;0;2021-01-19;1292;8989
06;0;2021-01-20;1402;10391
06;0;2021-01-21;1389;11780
06;0;2021-01-22;1185;12965
06;0;2021-01-23;445;13410
06;0;2021-01-24;27;13437
06;0;2021-01-25;1028;14465
06;0;2021-01-26;1537;16002
06;0;2021-01-27;978;16980
06;1;2020-12-31;6;6
06;1;2021-01-04;45;51
06;1;2021-01-05;61;112
06;1;2021-01-06;64;176
06;1;2021-01-07;145;321
06;1;2021-01-08;136;457
06;1;2021-01-09;55;512
06;1;2021-01-11;202;714
06;1;2021-01-12;496;1210
06;1;2021-01-13;431;1641
06;1;2021-01-14;385;2026
06;1;2021-01-15;306;2332
06;1;2021-01-16;216;2548
06;1;2021-01-17;22;2570
06;1;2021-01-18;407;2977
06;1;2021-01-19;550;3527
06;1;2021-01-20;624;4151
06;1;2021-01-21;580;4731
06;1;2021-01-22;519;5250
06;1;2021-01-23;202;5452
06;1;2021-01-24;15;5467
06;1;2021-01-25;450;5917
06;1;2021-01-26;549;6466
06;1;2021-01-27;400;6866
06;2;2020-12-31;13;13
06;2;2021-01-04;70;83
06;2;2021-01-05;74;157
06;2;2021-01-06;90;247
06;2;2021-01-07;238;485
06;2;2021-01-08;167;652
06;2;2021-01-09;35;687
06;2;2021-01-10;1;688
06;2;2021-01-11;294;982
06;2;2021-01-12;1116;2098
06;2;2021-01-13;716;2814
06;2;2021-01-14;653;3467
06;2;2021-01-15;455;3922
06;2;2021-01-16;247;4169
06;2;2021-01-17;15;4184
06;2;2021-01-18;531;4715
06;2;2021-01-19;742;5457
06;2;2021-01-20;778;6235
06;2;2021-01-21;806;7041
06;2;2021-01-22;666;7707
06;2;2021-01-23;243;7950
06;2;2021-01-24;12;7962
06;2;2021-01-25;578;8540
06;2;2021-01-26;988;9528
06;2;2021-01-27;577;10105
07;0;2021-01-06;31;31
07;0;2021-01-07;81;112
07;0;2021-01-08;37;149
07;0;2021-01-09;16;165
07;0;2021-01-11;151;316
07;0;2021-01-12;296;612
07;0;2021-01-13;289;901
07;0;2021-01-14;330;1231
07;0;2021-01-15;163;1394
07;0;2021-01-16;17;1411
07;0;2021-01-17;2;1413
07;0;2021-01-18;308;1721
07;0;2021-01-19;613;2334
07;0;2021-01-20;477;2811
07;0;2021-01-21;335;3146
07;0;2021-01-22;157;3303
07;0;2021-01-23;56;3359
07;0;2021-01-25;80;3439
07;0;2021-01-26;401;3840
07;0;2021-01-27;471;4311
07;1;2021-01-06;9;9
07;1;2021-01-07;29;38
07;1;2021-01-08;17;55
07;1;2021-01-09;13;68
07;1;2021-01-11;40;108
07;1;2021-01-12;115;223
07;1;2021-01-13;97;320
07;1;2021-01-14;121;441
07;1;2021-01-15;66;507
07;1;2021-01-16;9;516
07;1;2021-01-17;1;517
07;1;2021-01-18;125;642
07;1;2021-01-19;234;876
07;1;2021-01-20;203;1079
07;1;2021-01-21;113;1192
07;1;2021-01-22;67;1259
07;1;2021-01-23;37;1296
07;1;2021-01-25;42;1338
07;1;2021-01-26;117;1455
07;1;2021-01-27;171;1626
07;2;2021-01-06;22;22
07;2;2021-01-07;52;74
07;2;2021-01-08;20;94
07;2;2021-01-09;3;97
07;2;2021-01-11;111;208
07;2;2021-01-12;181;389
07;2;2021-01-13;192;581
07;2;2021-01-14;209;790
07;2;2021-01-15;97;887
07;2;2021-01-16;8;895
07;2;2021-01-17;1;896
07;2;2021-01-18;183;1079
07;2;2021-01-19;379;1458
07;2;2021-01-20;274;1732
07;2;2021-01-21;222;1954
07;2;2021-01-22;90;2044
07;2;2021-01-23;19;2063
07;2;2021-01-25;38;2101
07;2;2021-01-26;284;2385
07;2;2021-01-27;300;2685
08;0;2021-01-07;157;157
08;0;2021-01-08;258;415
08;0;2021-01-09;113;528
08;0;2021-01-11;67;595
08;0;2021-01-12;126;721
08;0;2021-01-13;444;1165
08;0;2021-01-14;437;1602
08;0;2021-01-15;220;1822
08;0;2021-01-16;44;1866
08;0;2021-01-17;1;1867
08;0;2021-01-18;307;2174
08;0;2021-01-19;787;2961
08;0;2021-01-20;804;3765
08;0;2021-01-21;633;4398
08;0;2021-01-22;584;4982
08;0;2021-01-23;237;5219
08;0;2021-01-25;204;5423
08;0;2021-01-26;268;5691
08;0;2021-01-27;345;6036
08;1;2021-01-07;43;43
08;1;2021-01-08;110;153
08;1;2021-01-09;62;215
08;1;2021-01-11;38;253
08;1;2021-01-12;62;315
08;1;2021-01-13;137;452
08;1;2021-01-14;124;576
08;1;2021-01-15;64;640
08;1;2021-01-16;16;656
08;1;2021-01-18;141;797
08;1;2021-01-19;299;1096
08;1;2021-01-20;305;1401
08;1;2021-01-21;276;1677
08;1;2021-01-22;235;1912
08;1;2021-01-23;98;2010
08;1;2021-01-25;100;2110
08;1;2021-01-26;127;2237
08;1;2021-01-27;160;2397
08;2;2021-01-07;114;114
08;2;2021-01-08;148;262
08;2;2021-01-09;51;313
08;2;2021-01-11;29;342
08;2;2021-01-12;64;406
08;2;2021-01-13;307;713
08;2;2021-01-14;313;1026
08;2;2021-01-15;156;1182
08;2;2021-01-16;28;1210
08;2;2021-01-17;1;1211
08;2;2021-01-18;166;1377
08;2;2021-01-19;488;1865
08;2;2021-01-20;499;2364
08;2;2021-01-21;357;2721
08;2;2021-01-22;349;3070
08;2;2021-01-23;139;3209
08;2;2021-01-25;103;3312
08;2;2021-01-26;141;3453
08;2;2021-01-27;185;3638
09;0;2021-01-04;1;1
09;0;2021-01-06;2;3
09;0;2021-01-07;243;246
09;0;2021-01-08;180;426
09;0;2021-01-09;104;530
09;0;2021-01-10;59;589
09;0;2021-01-11;175;764
09;0;2021-01-12;299;1063
09;0;2021-01-13;195;1258
09;0;2021-01-14;432;1690
09;0;2021-01-15;221;1911
09;0;2021-01-16;193;2104
09;0;2021-01-17;123;2227
09;0;2021-01-18;230;2457
09;0;2021-01-19;252;2709
09;0;2021-01-20;316;3025
09;0;2021-01-21;330;3355
09;0;2021-01-22;328;3683
09;0;2021-01-23;236;3919
09;0;2021-01-24;83;4002
09;0;2021-01-25;202;4204
09;0;2021-01-26;533;4737
09;0;2021-01-27;385;5122
09;1;2021-01-06;1;1
09;1;2021-01-07;54;55
09;1;2021-01-08;60;115
09;1;2021-01-09;49;164
09;1;2021-01-10;28;192
09;1;2021-01-11;61;253
09;1;2021-01-12;101;354
09;1;2021-01-13;80;434
09;1;2021-01-14;130;564
09;1;2021-01-15;98;662
09;1;2021-01-16;99;761
09;1;2021-01-17;64;825
09;1;2021-01-18;116;941
09;1;2021-01-19;129;1070
09;1;2021-01-20;155;1225
09;1;2021-01-21;150;1375
09;1;2021-01-22;160;1535
09;1;2021-01-23;104;1639
09;1;2021-01-24;41;1680
09;1;2021-01-25;97;1777
09;1;2021-01-26;202;1979
09;1;2021-01-27;163;2142
09;2;2021-01-04;1;1
09;2;2021-01-06;1;2
09;2;2021-01-07;189;191
09;2;2021-01-08;120;311
09;2;2021-01-09;55;366
09;2;2021-01-10;31;397
09;2;2021-01-11;114;511
09;2;2021-01-12;197;708
09;2;2021-01-13;115;823
09;2;2021-01-14;301;1124
09;2;2021-01-15;123;1247
09;2;2021-01-16;94;1341
09;2;2021-01-17;59;1400
09;2;2021-01-18;114;1514
09;2;2021-01-19;123;1637
09;2;2021-01-20;161;1798
09;2;2021-01-21;180;1978
09;2;2021-01-22;168;2146
09;2;2021-01-23;132;2278
09;2;2021-01-24;42;2320
09;2;2021-01-25;105;2425
09;2;2021-01-26;330;2755
09;2;2021-01-27;222;2977
10;0;2021-01-07;63;63
10;0;2021-01-08;254;317
10;0;2021-01-11;114;431
10;0;2021-01-12;185;616
10;0;2021-01-13;313;929
10;0;2021-01-14;380;1309
10;0;2021-01-15;358;1667
10;0;2021-01-16;55;1722
10;0;2021-01-18;694;2416
10;0;2021-01-19;1136;3552
10;0;2021-01-20;1008;4560
10;0;2021-01-21;1075;5635
10;0;2021-01-22;816;6451
10;0;2021-01-23;308;6759
10;0;2021-01-25;443;7202
10;0;2021-01-26;486;7688
10;0;2021-01-27;454;8142
10;1;2021-01-07;27;27
10;1;2021-01-08;86;113
10;1;2021-01-11;33;146
10;1;2021-01-12;59;205
10;1;2021-01-13;137;342
10;1;2021-01-14;164;506
10;1;2021-01-15;144;650
10;1;2021-01-16;47;697
10;1;2021-01-18;295;992
10;1;2021-01-19;406;1398
10;1;2021-01-20;395;1793
10;1;2021-01-21;438;2231
10;1;2021-01-22;365;2596
10;1;2021-01-23;151;2747
10;1;2021-01-25;205;2952
10;1;2021-01-26;218;3170
10;1;2021-01-27;198;3368
10;2;2021-01-07;36;36
10;2;2021-01-08;168;204
10;2;2021-01-11;81;285
10;2;2021-01-12;126;411
10;2;2021-01-13;176;587
10;2;2021-01-14;216;803
10;2;2021-01-15;214;1017
10;2;2021-01-16;8;1025
10;2;2021-01-18;399;1424
10;2;2021-01-19;729;2153
10;2;2021-01-20;613;2766
10;2;2021-01-21;636;3402
10;2;2021-01-22;451;3853
10;2;2021-01-23;157;4010
10;2;2021-01-25;238;4248
10;2;2021-01-26;268;4516
10;2;2021-01-27;256;4772
11;0;2021-01-05;93;93
11;0;2021-01-06;17;110
11;0;2021-01-07;109;219
11;0;2021-01-08;89;308
11;0;2021-01-09;76;384
11;0;2021-01-10;66;450
11;0;2021-01-11;135;585
11;0;2021-01-12;448;1033
11;0;2021-01-13;379;1412
11;0;2021-01-14;522;1934
11;0;2021-01-15;340;2274
11;0;2021-01-16;76;2350
11;0;2021-01-17;44;2394
11;0;2021-01-18;327;2721
11;0;2021-01-19;460;3181
11;0;2021-01-20;648;3829
11;0;2021-01-21;591;4420
11;0;2021-01-22;481;4901
11;0;2021-01-23;143;5044
11;0;2021-01-24;103;5147
11;0;2021-01-25;337;5484
11;0;2021-01-26;716;6200
11;0;2021-01-27;655;6855
11;1;2021-01-05;39;39
11;1;2021-01-06;9;48
11;1;2021-01-07;43;91
11;1;2021-01-08;49;140
11;1;2021-01-09;45;185
11;1;2021-01-10;36;221
11;1;2021-01-11;56;277
11;1;2021-01-12;171;448
11;1;2021-01-13;134;582
11;1;2021-01-14;170;752
11;1;2021-01-15;125;877
11;1;2021-01-16;27;904
11;1;2021-01-17;18;922
11;1;2021-01-18;132;1054
11;1;2021-01-19;181;1235
11;1;2021-01-20;244;1479
11;1;2021-01-21;244;1723
11;1;2021-01-22;191;1914
11;1;2021-01-23;67;1981
11;1;2021-01-24;54;2035
11;1;2021-01-25;156;2191
11;1;2021-01-26;280;2471
11;1;2021-01-27;241;2712
11;2;2021-01-05;54;54
11;2;2021-01-06;8;62
11;2;2021-01-07;66;128
11;2;2021-01-08;40;168
11;2;2021-01-09;31;199
11;2;2021-01-10;30;229
11;2;2021-01-11;79;308
11;2;2021-01-12;277;585
11;2;2021-01-13;245;830
11;2;2021-01-14;352;1182
11;2;2021-01-15;215;1397
11;2;2021-01-16;49;1446
11;2;2021-01-17;26;1472
11;2;2021-01-18;195;1667
11;2;2021-01-19;279;1946
11;2;2021-01-20;404;2350
11;2;2021-01-21;347;2697
11;2;2021-01-22;290;2987
11;2;2021-01-23;76;3063
11;2;2021-01-24;48;3111
11;2;2021-01-25;181;3292
11;2;2021-01-26;435;3727
11;2;2021-01-27;414;4141
12;0;2021-01-04;1;1
12;0;2021-01-06;13;14
12;0;2021-01-07;187;201
12;0;2021-01-08;49;250
12;0;2021-01-11;98;348
12;0;2021-01-12;317;665
12;0;2021-01-13;263;928
12;0;2021-01-14;552;1480
12;0;2021-01-15;352;1832
12;0;2021-01-16;129;1961
12;0;2021-01-18;402;2363
12;0;2021-01-19;582;2945
12;0;2021-01-20;819;3764
12;0;2021-01-21;710;4474
12;0;2021-01-22;766;5240
12;0;2021-01-23;380;5620
12;0;2021-01-25;423;6043
12;0;2021-01-26;545;6588
12;0;2021-01-27;1505;8093
12;1;2021-01-04;1;1
12;1;2021-01-06;9;10
12;1;2021-01-07;55;65
12;1;2021-01-08;29;94
12;1;2021-01-11;37;131
12;1;2021-01-12;117;248
12;1;2021-01-13;82;330
12;1;2021-01-14;176;506
12;1;2021-01-15;162;668
12;1;2021-01-16;62;730
12;1;2021-01-18;180;910
12;1;2021-01-19;286;1196
12;1;2021-01-20;332;1528
12;1;2021-01-21;333;1861
12;1;2021-01-22;388;2249
12;1;2021-01-23;208;2457
12;1;2021-01-25;217;2674
12;1;2021-01-26;247;2921
12;1;2021-01-27;568;3489
12;2;2021-01-06;4;4
12;2;2021-01-07;132;136
12;2;2021-01-08;20;156
12;2;2021-01-11;61;217
12;2;2021-01-12;200;417
12;2;2021-01-13;181;598
12;2;2021-01-14;376;974
12;2;2021-01-15;189;1163
12;2;2021-01-16;67;1230
12;2;2021-01-18;222;1452
12;2;2021-01-19;296;1748
12;2;2021-01-20;487;2235
12;2;2021-01-21;376;2611
12;2;2021-01-22;378;2989
12;2;2021-01-23;172;3161
12;2;2021-01-25;206;3367
12;2;2021-01-26;298;3665
12;2;2021-01-27;937;4602
13;0;2021-01-05;74;74
13;0;2021-01-06;113;187
13;0;2021-01-07;165;352
13;0;2021-01-08;161;513
13;0;2021-01-11;420;933
13;0;2021-01-12;703;1636
13;0;2021-01-13;987;2623
13;0;2021-01-14;1496;4119
13;0;2021-01-15;1355;5474
13;0;2021-01-16;377;5851
13;0;2021-01-17;24;5875
13;0;2021-01-18;2138;8013
13;0;2021-01-19;6634;14647
13;0;2021-01-20;4874;19521
13;0;2021-01-21;4847;24368
13;0;2021-01-22;3629;27997
13;0;2021-01-23;1318;29315
13;0;2021-01-24;477;29792
13;0;2021-01-25;2117;31909
13;0;2021-01-26;2760;34669
13;0;2021-01-27;2891;37560
13;1;2021-01-05;32;32
13;1;2021-01-06;52;84
13;1;2021-01-07;67;151
13;1;2021-01-08;62;213
13;1;2021-01-11;180;393
13;1;2021-01-12;319;712
13;1;2021-01-13;412;1124
13;1;2021-01-14;621;1745
13;1;2021-01-15;569;2314
13;1;2021-01-16;177;2491
13;1;2021-01-17;13;2504
13;1;2021-01-18;909;3413
13;1;2021-01-19;2293;5706
13;1;2021-01-20;1909;7615
13;1;2021-01-21;2010;9625
13;1;2021-01-22;1657;11282
13;1;2021-01-23;616;11898
13;1;2021-01-24;193;12091
13;1;2021-01-25;935;13026
13;1;2021-01-26;1210;14236
13;1;2021-01-27;1295;15531
13;2;2021-01-05;42;42
13;2;2021-01-06;61;103
13;2;2021-01-07;98;201
13;2;2021-01-08;99;300
13;2;2021-01-11;240;540
13;2;2021-01-12;384;924
13;2;2021-01-13;575;1499
13;2;2021-01-14;875;2374
13;2;2021-01-15;786;3160
13;2;2021-01-16;200;3360
13;2;2021-01-17;11;3371
13;2;2021-01-18;1229;4600
13;2;2021-01-19;4341;8941
13;2;2021-01-20;2961;11902
13;2;2021-01-21;2833;14735
13;2;2021-01-22;1972;16707
13;2;2021-01-23;702;17409
13;2;2021-01-24;284;17693
13;2;2021-01-25;1179;18872
13;2;2021-01-26;1550;20422
13;2;2021-01-27;1594;22016
14;0;2020-12-31;1;1
14;0;2021-01-05;10;11
14;0;2021-01-06;332;343
14;0;2021-01-07;361;704
14;0;2021-01-08;557;1261
14;0;2021-01-09;116;1377
14;0;2021-01-10;39;1416
14;0;2021-01-11;613;2029
14;0;2021-01-12;909;2938
14;0;2021-01-13;760;3698
14;0;2021-01-14;2565;6263
14;0;2021-01-15;1703;7966
14;0;2021-01-16;264;8230
14;0;2021-01-17;93;8323
14;0;2021-01-18;990;9313
14;0;2021-01-19;1080;10393
14;0;2021-01-20;1798;12191
14;0;2021-01-21;1685;13876
14;0;2021-01-22;1468;15344
14;0;2021-01-23;296;15640
14;0;2021-01-24;70;15710
14;0;2021-01-25;896;16606
14;0;2021-01-26;832;17438
14;0;2021-01-27;869;18307
14;1;2020-12-31;1;1
14;1;2021-01-05;3;4
14;1;2021-01-06;146;150
14;1;2021-01-07;132;282
14;1;2021-01-08;221;503
14;1;2021-01-09;53;556
14;1;2021-01-10;20;576
14;1;2021-01-11;212;788
14;1;2021-01-12;363;1151
14;1;2021-01-13;234;1385
14;1;2021-01-14;688;2073
14;1;2021-01-15;458;2531
14;1;2021-01-16;121;2652
14;1;2021-01-17;30;2682
14;1;2021-01-18;452;3134
14;1;2021-01-19;485;3619
14;1;2021-01-20;674;4293
14;1;2021-01-21;634;4927
14;1;2021-01-22;589;5516
14;1;2021-01-23;144;5660
14;1;2021-01-24;32;5692
14;1;2021-01-25;381;6073
14;1;2021-01-26;384;6457
14;1;2021-01-27;380;6837
14;2;2021-01-05;7;7
14;2;2021-01-06;186;193
14;2;2021-01-07;229;422
14;2;2021-01-08;336;758
14;2;2021-01-09;63;821
14;2;2021-01-10;19;840
14;2;2021-01-11;401;1241
14;2;2021-01-12;546;1787
14;2;2021-01-13;526;2313
14;2;2021-01-14;1877;4190
14;2;2021-01-15;1245;5435
14;2;2021-01-16;143;5578
14;2;2021-01-17;63;5641
14;2;2021-01-18;538;6179
14;2;2021-01-19;594;6773
14;2;2021-01-20;1124;7897
14;2;2021-01-21;1051;8948
14;2;2021-01-22;878;9826
14;2;2021-01-23;152;9978
14;2;2021-01-24;38;10016
14;2;2021-01-25;514;10530
14;2;2021-01-26;448;10978
14;2;2021-01-27;489;11467
15;0;2021-01-07;69;69
15;0;2021-01-08;99;168
15;0;2021-01-11;92;260
15;0;2021-01-12;91;351
15;0;2021-01-13;213;564
15;0;2021-01-14;278;842
15;0;2021-01-15;134;976
15;0;2021-01-16;90;1066
15;0;2021-01-18;379;1445
15;0;2021-01-19;506;1951
15;0;2021-01-20;566;2517
15;0;2021-01-21;529;3046
15;0;2021-01-22;486;3532
15;0;2021-01-23;432;3964
15;0;2021-01-24;6;3970
15;0;2021-01-25;385;4355
15;0;2021-01-26;416;4771
15;0;2021-01-27;630;5401
