reg;sexe;jour;n_dose1;n_cum_dose1
75;2;2021-01-21;9837;57920
75;2;2021-01-22;7155;65075
75;2;2021-01-23;2362;67437
75;2;2021-01-24;361;67798
75;2;2021-01-25;4623;72421
75;2;2021-01-26;6220;78641
75;2;2021-01-27;6466;85107
76;0;2020-12-31;1;1
76;0;2021-01-03;1;2
76;0;2021-01-04;58;60
76;0;2021-01-05;461;521
76;0;2021-01-06;757;1278
76;0;2021-01-07;2423;3701
76;0;2021-01-08;3015;6716
76;0;2021-01-09;1459;8175
76;0;2021-01-10;461;8636
76;0;2021-01-11;3238;11874
76;0;2021-01-12;5215;17089
76;0;2021-01-13;5918;23007
76;0;2021-01-14;8284;31291
76;0;2021-01-15;6613;37904
76;0;2021-01-16;1854;39758
76;0;2021-01-17;664;40422
76;0;2021-01-18;7194;47616
76;0;2021-01-19;10541;58157
76;0;2021-01-20;12881;71038
76;0;2021-01-21;15399;86437
76;0;2021-01-22;11050;97487
76;0;2021-01-23;3797;101284
76;0;2021-01-24;707;101991
76;0;2021-01-25;7485;109476
76;0;2021-01-26;9188;118664
76;0;2021-01-27;9586;128250
76;1;2021-01-03;1;1
76;1;2021-01-04;30;31
76;1;2021-01-05;202;233
76;1;2021-01-06;358;591
76;1;2021-01-07;888;1479
76;1;2021-01-08;1217;2696
76;1;2021-01-09;703;3399
76;1;2021-01-10;202;3601
76;1;2021-01-11;1303;4904
76;1;2021-01-12;1991;6895
76;1;2021-01-13;2185;9080
76;1;2021-01-14;2929;12009
76;1;2021-01-15;2395;14404
76;1;2021-01-16;784;15188
76;1;2021-01-17;269;15457
76;1;2021-01-18;3093;18550
76;1;2021-01-19;4252;22802
76;1;2021-01-20;4897;27699
76;1;2021-01-21;5800;33499
76;1;2021-01-22;4656;38155
76;1;2021-01-23;1773;39928
76;1;2021-01-24;321;40249
76;1;2021-01-25;3402;43651
76;1;2021-01-26;4014;47665
76;1;2021-01-27;4122;51787
76;2;2020-12-31;1;1
76;2;2021-01-04;28;29
76;2;2021-01-05;259;288
76;2;2021-01-06;398;686
76;2;2021-01-07;1535;2221
76;2;2021-01-08;1796;4017
76;2;2021-01-09;756;4773
76;2;2021-01-10;259;5032
76;2;2021-01-11;1935;6967
76;2;2021-01-12;3223;10190
76;2;2021-01-13;3732;13922
76;2;2021-01-14;5351;19273
76;2;2021-01-15;4216;23489
76;2;2021-01-16;1070;24559
76;2;2021-01-17;394;24953
76;2;2021-01-18;4100;29053
76;2;2021-01-19;6285;35338
76;2;2021-01-20;7980;43318
76;2;2021-01-21;9595;52913
76;2;2021-01-22;6391;59304
76;2;2021-01-23;2024;61328
76;2;2021-01-24;385;61713
76;2;2021-01-25;4082;65795
76;2;2021-01-26;5167;70962
76;2;2021-01-27;5460;76422
84;0;2020-12-28;6;6
84;0;2020-12-29;5;11
84;0;2020-12-30;5;16
84;0;2020-12-31;11;27
84;0;2021-01-02;1;28
84;0;2021-01-04;172;200
84;0;2021-01-05;422;622
84;0;2021-01-06;1045;1667
84;0;2021-01-07;2543;4210
84;0;2021-01-08;2779;6989
84;0;2021-01-09;465;7454
84;0;2021-01-10;152;7606
84;0;2021-01-11;3796;11402
84;0;2021-01-12;5589;16991
84;0;2021-01-13;6410;23401
84;0;2021-01-14;7966;31367
84;0;2021-01-15;6554;37921
84;0;2021-01-16;2743;40664
84;0;2021-01-17;870;41534
84;0;2021-01-18;8095;49629
84;0;2021-01-19;13112;62741
84;0;2021-01-20;14074;76815
84;0;2021-01-21;12939;89754
84;0;2021-01-22;11061;100815
84;0;2021-01-23;4616;105431
84;0;2021-01-24;798;106229
84;0;2021-01-25;7683;113912
84;0;2021-01-26;10464;124376
84;0;2021-01-27;10403;134779
84;1;2020-12-28;1;1
84;1;2020-12-29;1;2
84;1;2020-12-31;1;3
84;1;2021-01-04;73;76
84;1;2021-01-05;175;251
84;1;2021-01-06;421;672
84;1;2021-01-07;959;1631
84;1;2021-01-08;1066;2697
84;1;2021-01-09;221;2918
84;1;2021-01-10;86;3004
84;1;2021-01-11;1389;4393
84;1;2021-01-12;1908;6301
84;1;2021-01-13;2153;8454
84;1;2021-01-14;2830;11284
84;1;2021-01-15;2298;13582
84;1;2021-01-16;1235;14817
84;1;2021-01-17;366;15183
84;1;2021-01-18;3380;18563
84;1;2021-01-19;4917;23480
84;1;2021-01-20;5430;28910
84;1;2021-01-21;4966;33876
84;1;2021-01-22;4543;38419
84;1;2021-01-23;2077;40496
84;1;2021-01-24;374;40870
84;1;2021-01-25;3399;44269
84;1;2021-01-26;4455;48724
84;1;2021-01-27;4337;53061
84;2;2020-12-28;5;5
84;2;2020-12-29;4;9
84;2;2020-12-30;5;14
84;2;2020-12-31;10;24
84;2;2021-01-02;1;25
84;2;2021-01-04;99;124
84;2;2021-01-05;247;371
84;2;2021-01-06;624;995
84;2;2021-01-07;1584;2579
84;2;2021-01-08;1713;4292
84;2;2021-01-09;244;4536
84;2;2021-01-10;66;4602
84;2;2021-01-11;2407;7009
84;2;2021-01-12;3681;10690
84;2;2021-01-13;4255;14945
84;2;2021-01-14;5135;20080
84;2;2021-01-15;4255;24335
84;2;2021-01-16;1507;25842
84;2;2021-01-17;503;26345
84;2;2021-01-18;4715;31060
84;2;2021-01-19;8190;39250
84;2;2021-01-20;8642;47892
84;2;2021-01-21;7969;55861
84;2;2021-01-22;6516;62377
84;2;2021-01-23;2537;64914
84;2;2021-01-24;424;65338
84;2;2021-01-25;4282;69620
84;2;2021-01-26;6002;75622
84;2;2021-01-27;6061;81683
93;0;2020-12-31;19;19
93;0;2021-01-04;115;134
93;0;2021-01-05;215;349
93;0;2021-01-06;356;705
93;0;2021-01-07;1109;1814
93;0;2021-01-08;1141;2955
93;0;2021-01-09;234;3189
93;0;2021-01-10;2;3191
93;0;2021-01-11;1675;4866
93;0;2021-01-12;4267;9133
93;0;2021-01-13;3736;12869
93;0;2021-01-14;4261;17130
93;0;2021-01-15;3599;20729
93;0;2021-01-16;1151;21880
93;0;2021-01-17;96;21976
93;0;2021-01-18;5278;27254
93;0;2021-01-19;11233;38487
93;0;2021-01-20;9573;48060
93;0;2021-01-21;9945;58005
93;0;2021-01-22;8228;66233
93;0;2021-01-23;2446;68679
93;0;2021-01-24;504;69183
93;0;2021-01-25;5928;75111
93;0;2021-01-26;7892;83003
93;0;2021-01-27;7597;90600
93;1;2020-12-31;6;6
93;1;2021-01-04;45;51
93;1;2021-01-05;97;148
93;1;2021-01-06;149;297
93;1;2021-01-07;451;748
93;1;2021-01-08;448;1196
93;1;2021-01-09;123;1319
93;1;2021-01-11;732;2051
93;1;2021-01-12;1541;3592
93;1;2021-01-13;1476;5068
93;1;2021-01-14;1656;6724
93;1;2021-01-15;1548;8272
93;1;2021-01-16;536;8808
93;1;2021-01-17;61;8869
93;1;2021-01-18;2266;11135
93;1;2021-01-19;4294;15429
93;1;2021-01-20;4022;19451
93;1;2021-01-21;4233;23684
93;1;2021-01-22;3704;27388
93;1;2021-01-23;1115;28503
93;1;2021-01-24;208;28711
93;1;2021-01-25;2651;31362
93;1;2021-01-26;3388;34750
93;1;2021-01-27;3315;38065
93;2;2020-12-31;13;13
93;2;2021-01-04;70;83
93;2;2021-01-05;118;201
93;2;2021-01-06;206;407
93;2;2021-01-07;658;1065
93;2;2021-01-08;693;1758
93;2;2021-01-09;111;1869
93;2;2021-01-10;2;1871
93;2;2021-01-11;943;2814
93;2;2021-01-12;2724;5538
93;2;2021-01-13;2258;7796
93;2;2021-01-14;2602;10398
93;2;2021-01-15;2050;12448
93;2;2021-01-16;615;13063
93;2;2021-01-17;35;13098
93;2;2021-01-18;3011;16109
93;2;2021-01-19;6934;23043
93;2;2021-01-20;5544;28587
93;2;2021-01-21;5702;34289
93;2;2021-01-22;4522;38811
93;2;2021-01-23;1330;40141
93;2;2021-01-24;296;40437
93;2;2021-01-25;3274;43711
93;2;2021-01-26;4503;48214
93;2;2021-01-27;4279;52493
94;0;2021-01-04;2;2
94;0;2021-01-06;53;55
94;0;2021-01-07;326;381
94;0;2021-01-08;280;661
94;0;2021-01-09;76;737
94;0;2021-01-10;33;770
94;0;2021-01-11;123;893
94;0;2021-01-12;196;1089
94;0;2021-01-13;185;1274
94;0;2021-01-14;246;1520
94;0;2021-01-15;359;1879
94;0;2021-01-16;195;2074
94;0;2021-01-17;59;2133
94;0;2021-01-18;460;2593
94;0;2021-01-19;882;3475
94;0;2021-01-20;797;4272
94;0;2021-01-21;788;5060
94;0;2021-01-22;701;5761
94;0;2021-01-23;241;6002
94;0;2021-01-24;144;6146
94;0;2021-01-25;354;6500
94;0;2021-01-26;771;7271
94;0;2021-01-27;615;7886
94;1;2021-01-06;26;26
94;1;2021-01-07;136;162
94;1;2021-01-08;128;290
94;1;2021-01-09;37;327
94;1;2021-01-10;12;339
94;1;2021-01-11;63;402
94;1;2021-01-12;99;501
94;1;2021-01-13;78;579
94;1;2021-01-14;113;692
94;1;2021-01-15;139;831
94;1;2021-01-16;88;919
94;1;2021-01-17;32;951
94;1;2021-01-18;249;1200
94;1;2021-01-19;369;1569
94;1;2021-01-20;353;1922
94;1;2021-01-21;345;2267
94;1;2021-01-22;342;2609
94;1;2021-01-23;119;2728
94;1;2021-01-24;77;2805
94;1;2021-01-25;161;2966
94;1;2021-01-26;385;3351
94;1;2021-01-27;301;3652
94;2;2021-01-04;2;2
94;2;2021-01-06;27;29
94;2;2021-01-07;190;219
94;2;2021-01-08;152;371
94;2;2021-01-09;39;410
94;2;2021-01-10;21;431
94;2;2021-01-11;60;491
94;2;2021-01-12;97;588
94;2;2021-01-13;107;695
94;2;2021-01-14;133;828
94;2;2021-01-15;220;1048
94;2;2021-01-16;107;1155
94;2;2021-01-17;27;1182
94;2;2021-01-18;211;1393
94;2;2021-01-19;513;1906
94;2;2021-01-20;444;2350
94;2;2021-01-21;442;2792
94;2;2021-01-22;359;3151
94;2;2021-01-23;122;3273
94;2;2021-01-24;67;3340
94;2;2021-01-25;193;3533
94;2;2021-01-26;386;3919
94;2;2021-01-27;314;4233
